"State,move",QValue
"('----O---X', 3)",0.0
"('----O---X', 5)",0.0
"('----O---X', 6)",0.0
"('----O---X', 7)",0.0
"('----O--X-', 1)",0.0
"('----O--X-', 2)",0.0
"('----O--X-', 3)",0.0
"('----O--X-', 5)",0.0
"('----O--X-', 6)",0.0
"('----O--X-', 8)",0.0
"('----O--XX', 1)",0.8914921949177887
"('----O--XX', 2)",0.875934042936498
"('----O--XX', 3)",0.8913267375128819
"('----O--XX', 5)",0.8721498965205702
"('----O--XX', 6)",0.0
"('----O-OXX', 1)",-0.8389186596614956
"('----O-OXX', 2)",0.0
"('----O-OXX', 3)",-0.8119768225081941
"('----O-OXX', 5)",-0.5756359446
"('----O-X--', 1)",0.0
"('----O-X--', 2)",0.0
"('----O-X--', 3)",0.0
"('----O-X--', 5)",0.0
"('----O-X--', 7)",0.0
"('----O-X--', 8)",0.0
"('----O-X-X', 1)",0.8917035989455412
"('----O-X-X', 2)",0.8807142052370349
"('----O-X-X', 3)",0.8654143671353829
"('----O-X-X', 5)",0.8896787224678628
"('----O-X-X', 7)",0.0
"('----O-XOX', 1)",0.0
"('----O-XOX', 2)",-0.8890466873900451
"('----O-XOX', 3)",-0.8670595358289561
"('----O-XOX', 5)",-0.8792822943118719
"('----O-XX-', 1)",0.8849674815600688
"('----O-XX-', 2)",0.8696895272532034
"('----O-XX-', 3)",0.8965755005464658
"('----O-XX-', 5)",0.7998215092726481
"('----O-XX-', 8)",0.0
"('----O-XXO', 1)",0.0
"('----O-XXO', 2)",0.0
"('----O-XXO', 3)",0.0
"('----O-XXO', 5)",0.0
"('----OO-XX', 1)",-0.2813211
"('----OO-XX', 2)",-0.3487941
"('----OO-XX', 3)",0.0
"('----OO-XX', 6)",0.9997263125265993
"('----OOX-X', 1)",-0.19440000000000002
"('----OOX-X', 2)",-0.081
"('----OOX-X', 3)",0.0
"('----OOX-X', 7)",0.9994414541359168
"('----OOXX-', 1)",-0.301563
"('----OOXX-', 2)",-0.081
"('----OOXX-', 3)",0.0
"('----OOXX-', 8)",0.9992020773370239
"('----OX---', 1)",0.0
"('----OX---', 2)",0.0
"('----OX---', 3)",0.0
"('----OX---', 6)",0.0
"('----OX---', 7)",0.0
"('----OX---', 8)",0.0
"('----OX--X', 1)",0.8930045616990315
"('----OX--X', 2)",0.0
"('----OX--X', 3)",0.8771986139521218
"('----OX--X', 6)",0.873383096966361
"('----OX--X', 7)",0.8888538074014952
"('----OX-OX', 1)",0.0
"('----OX-OX', 2)",0.9992020773370239
"('----OX-OX', 3)",-0.431075439
"('----OX-OX', 6)",-0.558599409
"('----OX-X-', 1)",0.0
"('----OX-X-', 2)",0.0
"('----OX-X-', 3)",0.0
"('----OX-X-', 6)",0.0
"('----OX-X-', 8)",0.0
"('----OX-XO', 1)",0.0
"('----OX-XO', 2)",0.0
"('----OX-XO', 3)",0.0
"('----OX-XO', 6)",0.0
"('----OXO-X', 1)",-0.5435301356285642
"('----OXO-X', 2)",0.9990880883851702
"('----OXO-X', 3)",-0.41960793827700005
"('----OXO-X', 7)",0.0
"('----OXOX-', 1)",-0.8469049976858462
"('----OXOX-', 2)",0.0
"('----OXOX-', 3)",-0.815252556994958
"('----OXOX-', 8)",-0.51017364
"('----OXOXX', 2)",-0.94235199
"('----OXOXX', 3)",0.23409
"('----OXX--', 1)",0.0
"('----OXX--', 2)",0.0
"('----OXX--', 3)",0.0
"('----OXX--', 7)",0.0
"('----OXX--', 8)",0.0
"('----OXX-O', 1)",0.0
"('----OXX-O', 2)",0.0
"('----OXX-O', 3)",0.0
"('----OXX-O', 7)",0.0
"('----OXXO-', 1)",0.0
"('----OXXO-', 2)",-0.5137483860000001
"('----OXXO-', 3)",-0.5255376390000001
"('----OXXO-', 8)",-0.8364094908980363
"('----OXXOX', 1)",-0.9992020773370239
"('----OXXOX', 2)",0.0
"('----OXXOX', 3)",0.1377
"('----OXXXO', 1)",0.0
"('----OXXXO', 2)",0.0
"('----OXXXO', 3)",0.0
"('----X----', 1)",0.0
"('----X----', 2)",0.0
"('----X----', 3)",0.0
"('----X----', 5)",0.0
"('----X----', 6)",0.0
"('----X----', 7)",0.0
"('----X----', 8)",0.0
"('----X---O', 1)",0.0
"('----X---O', 2)",0.0
"('----X---O', 3)",0.0
"('----X---O', 5)",0.0
"('----X---O', 6)",0.0
"('----X---O', 7)",0.0
"('----X--O-', 1)",0.0
"('----X--O-', 2)",0.0
"('----X--O-', 3)",0.0
"('----X--O-', 5)",0.0
"('----X--O-', 6)",0.0
"('----X--O-', 8)",0.0
"('----X--OX', 1)",0.0
"('----X--OX', 2)",0.0
"('----X--OX', 3)",0.0
"('----X--OX', 5)",0.0
"('----X--OX', 6)",0.0
"('----X--XO', 1)",0.0
"('----X--XO', 2)",0.8874510366001733
"('----X--XO', 3)",0.8773016371317335
"('----X--XO', 5)",0.8944016450306685
"('----X--XO', 6)",0.8773111145379057
"('----X-O--', 1)",0.0
"('----X-O--', 2)",0.0
"('----X-O--', 3)",0.0
"('----X-O--', 5)",0.0
"('----X-O--', 7)",0.0
"('----X-O--', 8)",0.0
"('----X-O-X', 1)",0.0
"('----X-O-X', 2)",0.0
"('----X-O-X', 3)",0.0
"('----X-O-X', 5)",0.0
"('----X-O-X', 7)",0.0
"('----X-OOX', 1)",0.0
"('----X-OOX', 2)",0.0
"('----X-OOX', 3)",0.0
"('----X-OOX', 5)",0.0
"('----X-OX-', 1)",0.0
"('----X-OX-', 2)",0.8824315185173941
"('----X-OX-', 3)",0.8884508079366136
"('----X-OX-', 5)",0.8959045947148495
"('----X-OX-', 8)",0.8208141694862486
"('----X-OXO', 1)",0.9976736948601279
"('----X-OXO', 2)",0.0
"('----X-OXO', 3)",0.0
"('----X-OXO', 5)",0.0
"('----X-X-O', 1)",0.8900640978924804
"('----X-X-O', 2)",0.0
"('----X-X-O', 3)",0.8683847283481543
"('----X-X-O', 5)",0.8827134677592466
"('----X-X-O', 7)",0.8873066489360104
"('----X-XO-', 1)",0.8548172330787525
"('----X-XO-', 2)",0.0
"('----X-XO-', 3)",0.8478271068097014
"('----X-XO-', 5)",0.8676862554721302
"('----X-XO-', 8)",0.8473040891211968
"('----X-XOO', 1)",0.0
"('----X-XOO', 2)",0.9988601104814627
"('----X-XOO', 3)",0.0
"('----X-XOO', 5)",0.0
"('----XO---', 1)",0.0
"('----XO---', 2)",0.0
"('----XO---', 3)",0.0
"('----XO---', 6)",0.0
"('----XO---', 7)",0.0
"('----XO---', 8)",0.0
"('----XO--X', 1)",0.0
"('----XO--X', 2)",0.0
"('----XO--X', 3)",0.0
"('----XO--X', 6)",0.0
"('----XO--X', 7)",0.0
"('----XO-OX', 1)",0.0
"('----XO-OX', 2)",0.0
"('----XO-OX', 3)",0.0
"('----XO-OX', 6)",0.0
"('----XO-X-', 1)",0.0
"('----XO-X-', 2)",0.8520841533547164
"('----XO-X-', 3)",0.8866064557762287
"('----XO-X-', 6)",0.8979190626321257
"('----XO-X-', 8)",0.8960982826539823
"('----XO-XO', 1)",0.9997810500212794
"('----XO-XO', 2)",0.0
"('----XO-XO', 3)",-0.6303083598746209
"('----XO-XO', 6)",-0.5690200367523761
"('----XOO-X', 1)",0.0
"('----XOO-X', 2)",0.0
"('----XOO-X', 3)",0.0
"('----XOO-X', 7)",0.0
"('----XOOX-', 1)",0.9999889557232575
"('----XOOX-', 3)",0.0
"('----XOOX-', 8)",0.0
"('----XOOXX', 1)",0.0
"('----XOOXX', 2)",0.4893689877939
"('----XOOXX', 3)",0.7013931936300001
"('----XOX--', 1)",0.8840529273943109
"('----XOX--', 2)",0.0
"('----XOX--', 3)",0.8824781054025433
"('----XOX--', 7)",0.8714493388203574
"('----XOX--', 8)",0.8153423603614053
"('----XOX-O', 1)",-0.17739000000000002
"('----XOX-O', 2)",0.9986972691216717
"('----XOX-O', 3)",-0.44608103730000004
"('----XOX-O', 7)",-0.4162671
"('----XOXO-', 1)",0.0
"('----XOXO-', 2)",0.9966767069430399
"('----XOXO-', 3)",0.0
"('----XOXO-', 8)",0.0
"('----XOXOX', 1)",0.7354709323740001
"('----XOXOX', 2)",0.0
"('----XOXOX', 3)",0.458858439
"('----XOXXO', 1)",0.35082503730000003
"('----XOXXO', 2)",-0.9989578152973373
"('----XOXXO', 3)",0.1377
"('----XX--O', 1)",0.8874930176819299
"('----XX--O', 2)",0.8766825076352216
"('----XX--O', 3)",0.0
"('----XX--O', 6)",0.8938833959708998
"('----XX--O', 7)",0.8894141146449219
"('----XX-O-', 1)",0.8994545504821511
"('----XX-O-', 2)",0.8844565224522458
"('----XX-O-', 3)",0.0
"('----XX-O-', 6)",0.8860260891699335
"('----XX-O-', 8)",0.896931816605407
"('----XX-OO', 1)",-0.47346726827700003
"('----XX-OO', 2)",-0.48964672611000004
"('----XX-OO', 3)",0.9999678009424419
"('----XX-OO', 6)",0.0
"('----XXO--', 1)",0.8818253419701599
"('----XXO--', 2)",0.8894747950940566
"('----XXO--', 3)",0.0
"('----XXO--', 7)",0.8411594930796924
"('----XXO--', 8)",0.8968316476087534
"('----XXO-O', 1)",-0.6557887604970001
"('----XXO-O', 2)",-0.5560481877939
"('----XXO-O', 3)",0.9998927145104269
"('----XXO-O', 7)",0.0
"('----XXOO-', 1)",-0.23409
"('----XXOO-', 2)",-0.23409
"('----XXOO-', 3)",0.9994414541359168
"('----XXOO-', 8)",0.0
"('----XXOOX', 1)",0.53545617
"('----XXOOX', 2)",0.5412903860709
"('----XXOOX', 3)",0.63709583022
"('----XXOXO', 1)",0.65586290054382
"('----XXOXO', 2)",0.5023944
"('----XXOXO', 3)",0.301563
"('----XXXOO', 1)",0.45516330000000005
"('----XXXOO', 2)",0.28132110000000005
"('----XXXOO', 3)",0.5921084853
"('---O----X', 1)",0.0
"('---O----X', 2)",0.0
"('---O----X', 4)",0.0
"('---O----X', 5)",0.0
"('---O----X', 6)",0.0
"('---O----X', 7)",0.0
"('---O---X-', 1)",0.0
"('---O---X-', 2)",0.0
"('---O---X-', 4)",0.0
"('---O---X-', 5)",0.0
"('---O---X-', 6)",0.0
"('---O---X-', 8)",0.0
"('---O---XX', 1)",0.76292819364663
"('---O---XX', 2)",0.8738455932218624
"('---O---XX', 4)",0.8907754161555752
"('---O---XX', 5)",0.8814281092757544
"('---O---XX', 6)",0.0
"('---O--OXX', 1)",0.0
"('---O--OXX', 2)",0.0
"('---O--OXX', 4)",0.0
"('---O--OXX', 5)",0.0
"('---O--X--', 1)",0.0
"('---O--X--', 2)",0.0
"('---O--X--', 4)",0.0
"('---O--X--', 5)",0.0
"('---O--X--', 7)",0.0
